province,year,emission_total_mt,emission_per_gdp_t_per_10k_cny,per_capita_t
甘肃,2019,42.10931586642622,0.46512670370391157,1.6783306443374342
福建,2003,5.132207791329705,,
福建,2005,49.301519938098565,0.7576806150101979,1.386042168628017
福建,2006,83.93064679760288,1.106359531749794,2.341161695888504
福建,2007,149.71205136611994,1.5801911631056642,4.144851920435214
福建,2008,191.48423506629007,1.7244307114991628,5.262001513225888
福建,2009,160.98120883068242,1.2750885840958284,4.3911950035647145
福建,2010,202.17806241268443,1.3269237389751283,5.4746293640044525
福建,2011,231.8131295723652,1.2740345232389048,6.1261397878532025
福建,2012,232.69658132722068,1.1345075829671232,6.058229141557425
福建,2013,247.176532844879,1.0816549002694722,6.362330317757503
福建,2014,254.93365324604068,1.0064733205130822,6.4621965334864555
福建,2015,240.7311445921911,0.8815568784846327,6.042448408438531
福建,2016,143.64529800288486,0.47565928237464855,3.576825149474225
福建,2017,27.46947019153958,0.07977843469641667,0.6757557242691163
福建,2018,277.25937558179925,0.7072077285990471,6.755832738347935
福建,2019,294.9434606317137,0.694326058300938,7.129404414593032
贵州,2003,43.3753555802942,,
贵州,2004,48.37920067660449,,
贵州,2005,50.562038155377664,2.5741797248435834,1.3555506207876051
贵州,2006,72.83983611785638,3.1775874064414067,1.9739792985868938
贵州,2007,83.99600939156241,2.913493215107957,2.3126654568161458
贵州,2008,133.22955531725333,3.7515714053234963,3.7049375783440857
贵州,2009,160.55687699139898,4.105578975411026,4.539351908153774
贵州,2010,122.14359359846529,2.6647379540211027,3.510882253477013
贵州,2011,108.31875320336081,1.9035015060778633,3.068519920775094
贵州,2012,161.65278111161535,2.3674635859406767,4.50662896882117
贵州,2013,204.0823931746539,2.5258034526993396,5.6190086226501625
贵州,2014,210.84285293172493,2.2677370576146805,5.73409988935885
贵州,2015,206.5347933792277,1.8970597622803842,5.569978246473239
贵州,2016,174.51870384773773,1.438273793650333,4.6439250624730635
贵州,2017,137.64303314975737,0.9784609210705493,3.6193277188997466
贵州,2018,86.63187417883032,0.5453141274963196,2.2666633746423424
贵州,2019,126.24384025786456,0.7317719905045535,3.280765079466335
辽宁,2003,148.72106865894247,,
辽宁,2004,56.43097936601247,,
辽宁,2005,163.66678924895487,2.229124639058523,3.8774411099017976
辽宁,2006,244.0081298099319,2.8743021192552027,5.713138136500396
辽宁,2007,284.3570232388539,2.7282210465407943,6.616031252648998
辽宁,2008,244.4092932463262,1.9865828923541105,5.664178290760747
辽宁,2009,387.677392132278,2.9813999025799647,8.930601062710851
辽宁,2010,438.33420967204984,3.107475007954528,10.019067649646853
辽宁,2011,457.0594830411708,2.7558107664086315,10.437531012586682
辽宁,2012,466.55515887656964,2.5737282314071894,10.664117917178734
辽宁,2013,443.2121175523493,2.268891731735201,10.153771307041222
辽宁,2014,457.93174309193756,2.2468009866395384,10.507841741439595
辽宁,2015,291.12650429659953,1.4092812608147989,6.711076632010132
辽宁,2016,227.9374659778623,1.0941698635650072,5.267794452920321
辽宁,2017,257.37379619260855,1.1643028228062309,5.968780060125431
辽宁,2018,225.90899085301973,0.9368569094201161,5.264716636052663
辽宁,2019,139.7221414011516,0.5443882404324476,3.266825845245536
重庆,2003,68.39064057178854,,
重庆,2004,68.26930702895334,,
重庆,2005,81.64413109812523,2.3383013832662742,2.9179460721274206
重庆,2006,90.03085388515903,2.279839298180781,3.2062269902122162
重庆,2007,99.16610001702766,2.049945219990236,3.5215234381046754
重庆,2008,126.25322993225434,2.1116817744740475,4.447102146257638
重庆,2009,133.08108662495053,1.9732964609799755,4.654812403810792
重庆,2010,145.41572124342957,1.776286828845411,5.040406282267923
重庆,2011,166.60566809364002,1.6153194955802253,5.659159921658968
重庆,2012,171.64583670973292,1.4548969868088366,5.769607956629678
重庆,2013,149.12160183165815,1.1232588757864548,4.95256067192488
重庆,2014,162.89677947445722,1.0924091785273122,5.353163965641052
重庆,2015,164.19668511257015,1.006977137800245,5.348426225165151
重庆,2016,156.58197488272043,0.8569925996941642,5.0347901891549975
重庆,2017,160.54976318855367,0.7924157150189216,5.1065446306791875
重庆,2018,160.6043216975965,0.7344665049188565,5.07759474225724
重庆,2019,156.25468104172418,0.6595918928210024,4.901338803065376
陕西,2003,50.46785866748243,,
陕西,2004,20.414540070428934,,
陕西,2005,119.52188645995464,3.098509007620538,3.239075513819909
陕西,2006,104.25118268248319,2.2457763228384393,2.8183612512160905
陕西,2007,163.24347457611188,2.8441116186579767,4.402466951890828
陕西,2008,143.627263386592,1.9792093400202844,3.8630248355726735
陕西,2009,200.67457258979348,2.479024726553676,5.384345924062073
陕西,2010,270.3119132585113,2.710437313331107,7.237266753909272
陕西,2011,292.64211408916907,2.375322554923816,7.772698913390945
陕西,2012,392.15182778102286,2.740116883492456,10.355210662292656
陕西,2013,426.0974192568187,2.6455326130571186,11.201299139243394
