province,year,energy_index,eco_index,efficiency_index
广西,2009,-0.5057573113451815,,
广西,2010,-0.23654481151411375,,
广西,2011,-0.21075249751930097,,
广西,2012,-0.2565447731864669,,
广西,2013,-0.48745376552883013,,
广西,2014,-0.3852532207183752,,
广西,2015,-0.34712922470375,,
广西,2016,-0.42682772896435117,,
广西,2017,-0.40249142123393367,,
广西,2018,-0.48789464227220214,,
广西,2019,-0.4449148299702017,,
新疆,2005,0.9901498679236409,,
新疆,2006,0.8987488143618636,,
新疆,2007,0.7781048681284657,,
新疆,2008,0.6563255044412085,,
新疆,2009,0.3228018151572767,,
新疆,2010,0.28531216272592697,,
新疆,2011,0.2044956418544747,,
新疆,2012,0.1572875435487617,,
新疆,2013,0.5626902934911124,,
新疆,2014,0.784396843598827,,
新疆,2015,0.7497692167598602,,
新疆,2016,0.5694736071050616,,
新疆,2017,0.31146511860307863,,
新疆,2018,0.40070250373955063,,
新疆,2019,0.3167613577447097,,
江苏,2005,0.27047786071361196,,-0.14465535438709431
江苏,2006,0.30263373028308876,1.534122136951618,0.11414734629835363
江苏,2007,0.19222372032631257,1.863408718927859,0.19738861050224532
江苏,2008,0.18996717127188742,1.480336645427045,0.2854328490189959
江苏,2009,0.3284578957339831,0.9477160997483314,0.3438609474966597
江苏,2010,0.36947864054433127,0.9574300584205817,0.2709194631477045
江苏,2011,0.19553336152616657,0.8490635821343987,0.20059090395058346
江苏,2012,0.347200197018163,0.8152499305888665,0.22779658415677526
江苏,2013,0.29795154945190844,0.823927183474181,0.16996146888130947
江苏,2014,0.3020709473137962,0.8085836044723638,0.1817849878605214
江苏,2015,0.18817740922117632,0.8762328874866553,0.1438162292543897
江苏,2016,0.25378679534815224,0.8944871509723725,0.1113484312358926
江苏,2017,0.20484913918588563,0.7970635639007941,-0.047115590968376336
江苏,2018,0.23902892174388773,0.7705338380750296,0.17780427643854696
江苏,2019,0.06897683655728899,0.7789728019070863,-0.04100966315504725
江西,2005,-0.46185197206178813,,0.4621541020112057
江西,2006,-0.57584464673986,-0.011793960839960342,0.6245320720073484
江西,2007,-0.9227755588833002,0.914987175980725,0.11725658171498274
江西,2008,-0.954267388486185,1.2928748816565174,-0.06699660745000682
江西,2009,-1.0252726108722552,1.4325158097439252,-0.009365190364787834
江西,2010,-0.6007015826175471,1.9516843498573406,-0.0990834012725826
江西,2011,-0.7494297233266606,1.9789047021886623,-0.024044289392857122
江西,2012,-0.7305259510872039,1.794374373141866,-0.01584759184184222
江西,2013,-0.6805896535059577,1.511381879203564,-0.08832661779531924
江西,2014,-0.7714689669609922,1.3184093323868438,0.000600003584494643
江西,2015,-0.8890087559168772,1.2068068426206786,-0.03561565771249161
江西,2016,-0.7862555610691182,1.1067383393386987,-0.17236674880084352
江西,2017,-0.787950957755253,1.5957054714924817,-0.21185392055114693
江西,2018,-0.7320434227109649,1.6821513366426653,-0.17785925481474957
江西,2019,-0.6934258802357145,1.5533362972940108,0.40642125549865865
河北,2005,-1.5165800763855537,,-2.1580499375968274
河北,2006,-1.414495283908205,0.2059407008208255,-2.036109526379579
河北,2007,-1.477126408867349,0.24852879445030546,-1.790522641589092
河北,2008,-1.5803594049854475,0.5664605470457243,-1.9102886188101416
河北,2009,-1.5138573585538333,0.5437163414186709,-1.6832995378775752
河北,2010,-1.4550388152803346,1.0899972972788163,-1.6236045553654075
河北,2011,-1.4445246059133727,0.8490635821343987,-2.0576807840112887
河北,2012,-1.5402387957847137,0.5060527382037089,-2.011583663884003
河北,2013,-1.7623725833362962,0.5183917631500109,-2.060164678633825
河北,2014,-1.751498656968721,0.6301445997022957,-1.8183022474114086
河北,2015,-1.7033595605266725,0.4693726350140112,-1.6548803972130743
河北,2016,-1.6280076187408021,0.2577335858733943,-1.727252297615704
河北,2017,-1.4862266852008066,0.361440705214419,-1.4964655301488907
河北,2018,-1.7020719717061044,0.28216732098522285,-1.7772735615683604
河北,2019,-1.7901132347081752,0.373353828132983,-1.5146203195138173
河南,2005,-1.0214754006599809,,-1.01928967858462
河南,2006,-1.04762719045379,-0.4037163518293761,-1.2855761786395603
河南,2007,-1.057892774481502,-0.31539752838312785,-1.014155631919269
河南,2008,-0.9936434286881951,-0.20681922850770199,-0.9720890225170076
河南,2009,-1.00114218163606,-0.20368321149120308,-1.0431342981866276
河南,2010,-1.0524024712981412,-0.25776963111323337,-0.4159517612390942
河南,2011,-0.8834886401113715,-0.4730909200567628,-0.6729765868550688
河南,2012,-0.39651352071612317,-0.5503710024455786,-0.4426153300306482
河南,2013,-0.19131372394047094,-0.3982144978224983,-0.3798180395892933
河南,2014,-0.38793153607450964,-0.2875417105437696,-0.13007921027389419
河南,2015,-0.37472605099277967,-0.4206341672698964,0.0010297890764497696
河南,2016,-0.11486864551776448,-0.19709038919730618,0.12885535076775992
河南,2017,-0.04359122111626655,-0.5098050121583332,0.4688956996824251
河南,2018,-0.022490279033069736,-0.23875696391056916,-0.125321425069059
河南,2019,0.0582247497453358,-0.10601404996368456,-0.0799143167612446
浙江,2005,1.0944816798983044,,0.22486806653197933
浙江,2006,1.1393503877494608,0.1841672346547469,0.3270169348376581
浙江,2007,1.1813722899323522,0.14599673575331784,0.4234464094432219
浙江,2008,1.2750089211278537,0.33213334233256486,0.468183859643607
浙江,2009,1.4284564164842697,0.18011655892197542,0.5481659374255469
浙江,2010,1.4352856331364239,0.11783754565176197,0.5662512892088564
浙江,2011,1.412610710419735,-0.0403858102487459,0.4790397934696395
浙江,2012,1.4547828396823475,0.22262197851731286,0.5092037391489643
浙江,2013,1.3303738953427737,0.28924019790688177,0.5724027706789668
浙江,2014,1.2645065127703947,0.3497404493493318,0.5297690904196417
浙江,2015,1.2069883088927675,0.31680004033677106,0.5461403019967525
浙江,2016,1.390955754384626,0.3183767825494874,0.400231992701438
浙江,2017,1.411947113681834,-0.14678596325302057,0.24771530730099317
浙江,2018,1.4801870675595348,0.1519362497612744,0.27973033603575825
浙江,2019,1.4752331048896214,0.07835821084272604,0.27547669376046385
海南,2005,1.540907090846095,,1.5768076455666462
海南,2006,2.502521664941784,0.9244650843014188,1.6379462951986319
海南,2007,2.5065522342474056,1.2738493814201817,1.6230923170802336
海南,2008,2.560918473099771,1.3631730430704654,1.6638410595761437
海南,2009,2.421503898261722,0.9275161118318482,1.642974091457166
海南,2010,2.34830474677304,1.0679027574691105,1.7915375504828643
海南,2011,2.298855254638405,0.7769460638330625,1.8111438075338435
海南,2012,2.2082944562932045,0.5575856036012351,1.7759708986890823
海南,2013,2.18664397940238,0.7475433283931385,1.7392701934429675
海南,2014,2.164875233474299,0.4771968813279518,1.5882736319095005
海南,2015,2.1188330502301795,-0.4206341672698964,1.5409859013164229
海南,2016,2.018986829732979,0.10612559418315969,1.3300031853388652
海南,2017,1.7337973438133154,-0.25569167792461034,1.0987713884438726
海南,2018,1.6628618902523753,-0.04341035707464647,1.3012709044189188
海南,2019,1.6867622984117254,0.15210711516529027,1.3031751562057796
湖北,2005,-0.5086547458032801,,0.10093535506013691
湖北,2006,-0.3086928455611662,0.5325426933120043,-0.012716717398889379
湖北,2007,-0.38453906023443424,0.5304919558670214,0.25388867660097
湖北,2008,-0.24205173768709473,0.3087006218612489,0.23223319273459034
湖北,2009,-0.2892083464856446,0.09931660725604087,0.2507358243165188
湖北,2010,-1.003839258327902,-0.014729693206470091,0.13699894407243124
湖北,2011,-1.15542845220961,-0.0403858102487459,0.4451481967894343
湖北,2012,-1.2043184667799895,-0.0350423484703157,0.6424838615544056
湖北,2013,-0.6324652295713351,-0.2709080726874274,0.6227520943913613
湖北,2014,-0.5285645325115664,-0.38950685612666275,0.4853188472864641
湖北,2015,-0.5620869034109837,-0.4714916988289769,0.4859687509516413
湖北,2016,-0.6087309042567128,-0.7125575609440947,0.38935442350007227
湖北,2017,-0.6463364728552695,-0.8728240610636416,0.4371952630112361
湖北,2018,-0.41448784447352416,-0.759681248806363,0.19346871429835685
湖北,2019,-0.2881805671939475,-0.880377545350607,-0.19989706124910328
湖南,2005,-1.2123403942190296,,0.43381557690605843
